,cluster,latitude,longitude,wlthindf
141,142,-2.130811,29.677115999999998,-0.451445
142,143,-2.550852,29.849937,-0.12763
143,144,-2.021185,29.713286,-0.42015
144,145,-2.05891,30.375953000000003,-0.12519
145,146,-1.9658069999999999,30.221206,0.974485
146,147,-1.958832,30.527585,-0.31329
147,148,-1.5474629999999998,29.6574,-0.36634500000000003
148,149,-1.789266,30.177475,-0.334985
149,150,-2.4527639999999997,29.573641,-0.96732
150,151,-2.400068,28.995509000000002,-0.37203
151,152,-1.597761,29.969942,-0.48619
152,153,-1.726329,29.499088,-0.41968
153,154,-1.8508259999999999,29.340078000000002,-0.39344
154,155,-2.159884,30.033763,-0.49119
155,156,-2.589906,28.970809000000003,-0.45831
156,157,-1.552253,29.755847999999997,-0.24608
157,158,-2.298738,29.741970000000002,-0.9183600000000001
158,159,-1.827347,30.235609000000004,-0.246115
159,160,-1.361823,30.28163,-0.2184
160,161,-1.9954450000000001,29.41455,-0.31482
161,162,-1.9278560000000002,29.604681,-0.48980999999999997
162,163,-1.777182,30.044029,-0.27311
163,164,-2.752702,29.495145,-0.49768
164,165,-1.9923650000000002,30.310090000000002,-0.1627
165,166,-1.949591,30.440808,2.19107
166,167,-2.387603,29.067239,-0.18182
167,168,-1.937687,30.047714000000003,2.4126000000000003
168,169,-1.6973880000000001,29.637663,-0.35969
169,170,-2.2600279999999997,30.199794,-0.231235
170,171,-2.485561,28.926768,0.002855
171,172,-1.100359,30.389542,-0.24251
172,173,-1.9563700000000002,30.104392999999998,2.15909
173,174,-2.416729,29.532057000000002,-0.56477
174,175,-1.918798,30.449934000000002,-0.12552
175,176,-1.637594,29.633267,-0.50591
176,177,-1.782677,30.080121999999996,-0.20199
177,178,-2.116101,30.450414000000002,-0.43075
178,179,-2.206809,29.819907,-0.652175
179,180,-1.756319,29.582376,-0.34580999999999995
180,181,-2.6073459999999997,29.229031,-0.42191999999999996
181,182,-2.434632,29.787211,-0.4494
182,183,-1.439182,29.710516,-0.42233
183,184,-2.099755,30.481972,-0.31204
184,185,-1.956045,30.287383000000002,-0.23937
185,186,-2.5877209999999997,29.768940999999998,-0.43130500000000005
186,187,-1.43971,30.322471000000004,0.164725
187,188,-1.9750290000000001,29.927419,-0.25522500000000004
188,189,-2.338016,29.123901,-0.02544
189,190,-2.523384,29.022046000000003,-0.26787
190,191,-1.72052,29.646694,-0.330275
191,192,-2.214713,30.727983000000002,-0.402105
192,193,-1.9705279999999998,30.056039000000002,2.48492
193,194,-1.85497,30.558896,-0.35602
194,195,-1.954061,30.077749,2.25449
195,196,-1.977357,30.058601,2.8197900000000002
196,197,-2.635716,29.715013,0.28436
197,198,-2.327561,29.047354,-0.43299
198,199,-1.9632330000000002,29.331311,-0.41624
199,200,-2.042049,29.812083,-0.393395
200,201,-1.4415069999999999,30.422287,-0.275825
201,202,-1.836542,30.095516999999997,-0.30193
202,203,-2.3223700000000003,30.509814000000002,-0.38487499999999997
203,204,-2.525109,28.921810999999998,-0.423375
204,205,-1.358829,29.813962,-0.32099
205,206,-1.9551889999999998,30.011056,1.00952
206,207,-2.3717479999999997,29.585915999999997,-0.44551
207,208,-1.6744900000000003,29.559535999999998,-0.41358
208,209,-2.16145,29.254779,-0.425215
209,210,-2.213988,30.593609999999998,-0.33251
210,211,-2.1882919999999997,29.774608,-0.81199
211,212,-1.932437,30.485088,-0.59847
212,213,-2.360084,29.751587,0.90066
213,214,-1.99905,30.545979,0.35544
214,215,-2.238794,29.370061,-0.422745
215,216,-1.6761380000000001,29.872053,-0.40971
216,217,-1.4365620000000001,30.015490000000003,-0.29124
217,218,-2.224453,30.731484000000002,-0.181115
218,219,-2.733294,29.569965000000003,-0.62031
219,220,-2.545912,29.608434000000003,-0.4931
220,221,-2.760754,29.849705,-0.6147549999999999
221,222,-1.297459,30.242161,-0.23881
222,223,-2.083065,29.756048999999997,1.32605
223,224,-2.226654,30.421977000000002,-0.27751000000000003
224,225,-2.149959,30.850353000000002,-0.46649
225,226,-2.287563,30.117009000000003,-0.315615
226,227,-1.526805,29.577855,-0.499155
227,228,-2.183866,30.180127000000002,-0.173435
228,229,-2.661043,29.795864,-0.6316299999999999
229,230,-2.057712,29.909006,-0.37001
230,231,-1.9754639999999999,30.088096999999998,1.80585
231,232,-2.2769340000000002,30.036966999999997,-0.38755
232,233,-1.606749,30.427246999999998,-0.22832000000000002
233,234,-2.789598,29.744878999999997,-0.68306
234,235,-1.949707,30.111271999999996,2.968225
235,236,-1.8695709999999999,29.710590999999997,-0.38766
236,237,-2.262296,29.877543,-0.47738
237,238,-2.2355669999999996,30.535659000000003,-0.0885
238,239,-1.728849,29.754761,-0.434955
239,240,-1.6764419999999998,30.137928999999996,-0.3978
240,241,-2.6580619999999997,28.910434999999996,-0.255355
241,242,-2.758512,29.662263,-0.59136
242,243,-1.826784,29.723557,-0.38466999999999996
243,244,-1.974003,30.041225,2.12848
244,245,-2.1252,29.467963,-0.36239
245,246,-2.08,29.690313,-0.455855
246,247,-1.396914,30.1187,-0.34507
247,248,-2.64997,29.888780999999998,-0.62987
248,249,-2.596514,28.971476000000003,-0.46531
249,250,-1.735861,30.00618,-0.44
